gene	alias	accession	uniprot_id	sporulation_stage	occurs_in	gene_from_species	stage_regulon-GalperinMY2022	Conservation-GalperinMY2022	comment
gerW	ytfJ	AAC00315.1	O34806	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
ydsS/yetF		CAB12533.1	O31533	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
yhcV/ylbB		CAA65706.1	P54606	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
ylbC		CAB11349.1	O34586	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
yloC		CAA74270.1	O34441	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
yuiC		CAB15197.1	O32108	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
yyaC		CAA44410.1	P37521	NA	NA	Bacillus subtilis	forespore-SigF_regulon	universal-firmicutes	
bofC		CAA63621.1	O05391	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
rsfA		CAA51648.1	P39650	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
fin	yabK	BAA05289.1	P37553	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
yjbA		CAB12998.1	O31597	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
ymfJ		CAB13561.1	O31768	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
yqhG		BAA12544.1	P54508	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
ywzB		CAB15695.1	O32278	NA	NA	Bacillus subtilis	forespore-SigF_regulon	mostly_in_Bacilli	
spoVAC		BAA12658.1	P40868	NA	NA	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
spoVAD		BAA12659.1	P40869	NA	NA	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
spoVAEB		CAX52659.1	C0H450	NA	NA	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
sspB/sspC/sspD		AAA22834.1	P04832	NA	NA	Bacillus subtilis	forespore-SigG_regulon	universal-firmicutes	
sspE		AAA22836.1	P07784	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
sspF		CAA25403.1	P37549	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
sspH		CAB12640.1	O31552	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
sspI	ysfA	CAA99601.1	P94537	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
tlp		CAA97600.1	Q45060	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
yqfX		BAA12501.1	P54481	NA	NA	Bacillus subtilis	forespore-SigG_regulon	mostly_in_Bacilli	
sigK	cisB/spoIIIC/spoIVCB	AAA22804.1	P12254	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoIIID		AAC36809.1	P15281	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoVB	spoIIIF/ykvU	AAA22806.1	Q00758	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoVK		CAA42049.1	P27643	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ctpB		AAC67263.1	O35002	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spmA		AAA67491.1	P35157	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spmB		AAA67492.1	P35158	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ylmC/ymxH		CAB13410.1	O31725	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ytaF		AAC00352.1	C0SP79	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
ytvI		AAC00405.1	O34991	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
yyaD/ykvI		CAA44412.1	P37520	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	universal-firmicutes	
spoIVFA	bofB	CAA42106.1	P26936	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
ydcA		BAA19298.1	P96617	NA	NA	Bacillus subtilis	mother_cell-sigE_regulon	mostly_in_Bacilli	
cgeD		AAA87718.1	P42092	NA	NA	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
ytdA		AAA62287.1	P42407	NA	NA	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
ytlD		AAC00373.1	O34649	NA	NA	Bacillus subtilis	mother_cell-sigK_regulon	universal-firmicutes	
spoVD		CAA81085.1	Q03524	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
spoVV	ylbJ	QJP88016.1	A0A6M3ZAG9	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
cwlC/cwlD		BAA03500.1	Q06320	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
lytH		CAB15224.2	O32130	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
stoA	spoIVH	CAB13257.1	O31687	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
yabP		BAA05295.1	P37558	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
yabQ		BAA05296.1	P37559	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
yqfC		BAA12475.1	P54468	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
yqfD		BAA12476.1	P54469	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	universal-firmicutes	
cotD		CAA29168.1	P07791	NA	NA	Bacillus subtilis	mother_cell-spore_cortex	mostly_in_Bacilli	
cotSA		BAA06633.1	P46915	NA	NA	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
safA		CAB75322.1	O32062	NA	NA	Bacillus subtilis	mother_cell-spore_coat	universal-firmicutes	
spoVID		AAA22808.1	P37963	NA	NA	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
spoVIF		CAB13038.2	O31625	NA	NA	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
cotE		CAA31433.1	P14016	NA	NA	Bacillus subtilis	mother_cell-spore_coat	mostly_in_Bacilli	
cwlJ/sleB		BAA06481.1	P42249	NA	NA	Bacillus subtilis	mother_cell-germination	universal-firmicutes	
cspA		CAA63607.1	Q45096	NA	NA	Bacillus cereus	mother_cell-germination	universal-firmicutes	
gdh		AAA22463.1	P12310	NA	NA	Bacillus subtilis	mother_cell-germination	universal-firmicutes	
gerD		AAA22470.1	P16450	NA	NA	Bacillus subtilis	mother_cell-germination	mostly_in_Bacilli	
gerE		AAA22473.1	P11470	NA	NA	Bacillus subtilis	mother_cell-germination	mostly_in_Bacilli	
gerQ		CAA51618.1	P39620	NA	NA	Bacillus subtilis	mother_cell-germination	mostly_in_Bacilli	
